cycle number,Ewe/V
1294,2.110300
1295,2.110190
1296,2.110070
1297,2.110220
1298,2.110240
1299,2.110200
1300,2.110300
1301,2.110240
1302,2.110090
1303,2.110190
1304,2.110170
1305,2.110200
1306,2.110110
1307,2.110130
1308,2.110200
1309,2.110340
1310,2.110340
1311,2.110190
1312,2.110110
1313,2.110280
1314,2.110300
1315,2.110200
1316,2.110240
1317,2.110150
1318,2.110130
1319,2.110190
1320,2.110200
1321,2.110130
1322,2.110240
1323,2.110170
1324,2.110200
1325,2.110260
1326,2.110130
1327,2.110110
1328,2.110090
1329,2.110030
1330,2.110110
1331,2.110150
1332,2.109960
1333,2.110070
1334,2.110070
1335,2.110110
1336,2.110010
1337,2.110010
1338,2.110090
1339,2.109940
1340,2.110110
1341,2.110090
1342,2.109960
1343,2.109960
1344,2.110030
1345,2.109980
1346,2.109900
1347,2.109920
1348,2.109770
1349,2.109860
1350,2.109880
1351,2.109840
1352,2.109940
1353,2.109880
1354,2.109780
1355,2.109960
1356,2.109770
1357,2.109880
1358,2.109800
1359,2.109840
1360,2.109900
1361,2.109710
1362,2.109820
1363,2.109820
1364,2.109800
1365,2.109730
1366,2.109730
1367,2.109710
1368,2.109860
1369,2.109730
1370,2.109750
1371,2.109730
1372,2.109670
1373,2.109800
1374,2.109630
1375,2.109710
1376,2.109610
1377,2.109650
1378,2.109500
1379,2.109550
1380,2.109650
1381,2.109570
1382,2.109650
1383,2.109590
1384,2.109570
1385,2.109460
1386,2.109550
1387,2.109550
1388,2.109570
1389,2.109540
1390,2.109420
1391,2.109550
1392,2.109540
1393,2.109570
1394,2.109500
1395,2.109400
1396,2.109480
1397,2.109460
1398,2.109520
1399,2.109520
1400,2.109360
1401,2.109480
1402,2.109440
1403,2.109460
1404,2.109360
1405,2.109340
1406,2.109460
1407,2.109340
1408,2.109310
1409,2.109270
1410,2.109290
1411,2.109440
1412,2.109330
1413,2.109380
1414,2.109340
1415,2.109380
1416,2.109310
1417,2.109250
1418,2.109230
1419,2.109210
1420,2.109190
1421,2.109250
1422,2.109400
1423,2.109150
1424,2.109420
1425,2.109250
1426,2.109270
1427,2.109310
1428,2.109340
1429,2.109270
1430,2.109230
1431,2.109230
1432,2.109230
1433,2.109130
1434,2.109230
1435,2.109330
1436,2.109330
1437,2.109290
1438,2.109170
1439,2.109120
1440,2.109080
1441,2.109270
1442,2.109100
1443,2.109120
1444,2.109190
1445,2.109130
1446,2.109020
1447,2.109130
1448,2.109100
1449,2.109060
1450,2.109150
1451,2.108980
1452,2.108960
1453,2.109150
1454,2.109060
1455,2.109020
1456,2.109100
1457,2.108850
1458,2.109080
1459,2.108940
1460,2.109060
1461,2.108940
1462,2.108870
1463,2.108910
1464,2.108960
1465,2.108920
1466,2.109000
1467,2.109040
1468,2.108980
1469,2.109060
1470,2.108910
1471,2.108960
1472,2.108960
1473,2.108830
1474,2.108960
1475,2.108940
1476,2.108870
1477,2.108850
1478,2.108920
1479,2.108870
1480,2.108790
1481,2.108850
1482,2.108790
1483,2.108870
1484,2.108730
1485,2.108730
1486,2.108730
1487,2.108850
1488,2.108770
1489,2.108920
1490,2.108870
1491,2.108790
1492,2.108730
1493,2.108790
1494,2.108830
1495,2.108710
1496,2.108940
1497,2.108770
1498,2.108710
1499,2.108770
1500,2.108750
1501,2.108660
1502,2.108810
1503,2.108700
1504,2.108830
1505,2.108750
1506,2.108580
1507,2.108660
1508,2.108640
1509,2.108730
1510,2.108700
1511,2.108730
1512,2.108700
1513,2.108620
1514,2.108600
1515,2.108640
1516,2.108640
1517,2.108640
1518,2.108580
1519,2.108710
1520,2.108680
1521,2.108580
1522,2.108580
1523,2.108660
1524,2.108640
1525,2.108520
1526,2.108660
1527,2.108560
1528,2.108490
1529,2.108680
1530,2.108540
1531,2.108620
1532,2.108390
1533,2.108490
1534,2.108430
1535,2.108490
1536,2.108660
1537,2.108430
1538,2.108560
1539,2.108470
1540,2.108470
1541,2.108540
1542,2.108490
1543,2.108560
1544,2.108330
1545,2.108520
1546,2.108430
1547,2.108520
1548,2.108410
1549,2.108410
