        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   1.974781,    0.00211,   3.057714
   1.974625,   0.002113,   3.062357
    1.97447,   0.002116,   3.067001
   1.974314,   0.002119,   3.071644
   1.974159,   0.002123,   3.076287
   1.974004,   0.002126,    3.08093
   1.973693,   0.002129,   3.085574
   1.973537,   0.002132,   3.090217
   1.973382,   0.002135,   3.094859
   1.973227,   0.002139,   3.099502
   1.972916,   0.002142,   3.104144
    1.97276,   0.002145,   3.108788
   1.972605,   0.002148,   3.113431
    1.97245,   0.002151,   3.118075
   1.972294,   0.002155,   3.122719
   1.972139,   0.002158,   3.127363
   1.971828,   0.002161,   3.132006
   1.971672,   0.002164,   3.136649
   1.971517,   0.002167,   3.141293
   1.971362,   0.002171,   3.145937
   1.971051,   0.002174,    3.15058
   1.970895,   0.002177,   3.155223
    1.97074,    0.00218,   3.159867
   1.970585,   0.002184,   3.164511
   1.970429,   0.002187,   3.169154
   1.970118,    0.00219,   3.173797
   1.970118,   0.002193,   3.178441
   1.969808,   0.002196,   3.183085
   1.969652,     0.0022,   3.187728
   1.969497,   0.002203,   3.192371
   1.969341,   0.002206,   3.197015
   1.969186,   0.002209,   3.201659
   1.968875,   0.002212,   3.206302
   1.968875,   0.002216,   3.210945
    1.96872,   0.002219,   3.215589
   1.968409,   0.002222,   3.220233
   1.968253,   0.002225,   3.224877
   1.968098,   0.002228,    3.22952
   1.967943,   0.002232,   3.234164
   1.967787,   0.002235,   3.238808
   1.967476,   0.002238,   3.243452
   1.967321,   0.002241,   3.248095
   1.967166,   0.002244,   3.252738
    1.96701,   0.002248,   3.257381
   1.966855,   0.002251,   3.262024
   1.966699,   0.002254,   3.266667
   1.966544,   0.002257,   3.271311
   1.966233,    0.00226,   3.275955
   1.966078,   0.002264,   3.280599
   1.965922,   0.002267,   3.285242
   1.965767,    0.00227,   3.289885
   1.965611,   0.002273,   3.294529
   1.965456,   0.002276,   3.299173
   1.965301,    0.00228,   3.303816
   1.965145,   0.002283,   3.308459
   1.964834,   0.002286,   3.313103
   1.964679,   0.002289,   3.317746
   1.964524,   0.002292,    3.32239
   1.964368,   0.002296,   3.327034
