        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.439912,   0.001351,   2.144483
   2.438823,   0.001354,   2.149171
     2.4382,   0.001357,   2.153859
   2.437578,    0.00136,   2.158546
   2.436645,   0.001363,   2.163233
   2.435712,   0.001366,    2.16792
   2.435245,   0.001369,   2.172607
   2.434312,   0.001372,   2.177294
   2.433534,   0.001375,   2.181982
   2.432756,   0.001378,    2.18667
   2.432134,   0.001381,   2.191357
   2.431201,   0.001384,   2.196045
   2.430734,   0.001386,   2.200733
   2.430112,   0.001389,    2.20542
   2.429178,   0.001392,   2.210108
   2.428245,   0.001395,   2.214796
   2.427623,   0.001398,   2.219483
   2.426845,   0.001401,   2.224171
   2.426223,   0.001404,   2.228858
   2.425289,   0.001407,   2.233545
   2.424667,    0.00141,   2.238232
   2.424045,   0.001413,   2.242919
   2.423112,   0.001416,   2.247607
   2.422645,   0.001419,   2.252294
   2.421712,   0.001422,   2.256982
   2.420934,   0.001425,    2.26167
   2.420312,   0.001428,   2.266357
   2.419379,   0.001431,   2.271044
   2.418756,   0.001434,   2.275731
   2.417979,   0.001437,   2.280419
   2.417356,    0.00144,   2.285106
   2.416734,   0.001443,   2.289792
   2.415956,   0.001446,   2.294479
   2.415334,   0.001448,   2.299167
   2.414556,   0.001451,   2.303854
   2.413623,   0.001454,   2.308541
   2.413001,   0.001457,   2.313228
   2.412223,    0.00146,   2.317916
   2.411601,   0.001463,   2.322604
   2.410823,   0.001466,   2.327291
   2.410356,   0.001469,   2.331979
   2.409734,   0.001472,   2.336667
   2.408956,   0.001475,   2.341354
   2.408334,   0.001478,   2.346042
   2.407556,   0.001481,    2.35073
   2.406623,   0.001484,   2.355417
   2.406156,   0.001487,   2.360104
   2.405378,    0.00149,   2.364791
   2.404756,   0.001493,   2.369479
   2.403978,   0.001496,   2.374167
   2.403356,   0.001499,   2.378854
   2.402889,   0.001502,    2.38354
   2.401956,   0.001505,   2.388227
   2.401489,   0.001508,   2.392914
   2.400712,    0.00151,   2.397602
