cycle number,Ewe/V
1549,1.974770
1550,1.974500
1551,1.974690
1552,1.974620
1553,1.974540
1554,1.974500
1555,1.974460
1556,1.974440
1557,1.974520
1558,1.974460
1559,1.974310
1560,1.974410
1561,1.974230
1562,1.974350
1563,1.974160
1564,1.974180
1565,1.974220
1566,1.974140
1567,1.974140
1568,1.974040
1569,1.974020
1570,1.974010
1571,1.973890
1572,1.973930
1573,1.974040
1574,1.973890
1575,1.973850
1576,1.973800
1577,1.973850
1578,1.973660
1579,1.973720
1580,1.973660
1581,1.973780
1582,1.973720
1583,1.973570
1584,1.973550
1585,1.973570
1586,1.973550
1587,1.973510
1588,1.973370
1589,1.973360
1590,1.973390
1591,1.973260
1592,1.973430
1593,1.973360
1594,1.973390
1595,1.973220
1596,1.973200
1597,1.973110
1598,1.973220
1599,1.973180
1600,1.973090
1601,1.973010
1602,1.972880
1603,1.972990
1604,1.972820
1605,1.972920
1606,1.972920
1607,1.972780
1608,1.972690
1609,1.972740
1610,1.972820
1611,1.972650
1612,1.972740
1613,1.972500
1614,1.972530
1615,1.972610
1616,1.972530
1617,1.972570
1618,1.972520
1619,1.972500
1620,1.972440
1621,1.972530
1622,1.972420
1623,1.972520
1624,1.972440
1625,1.972340
1626,1.972550
1627,1.972420
1628,1.972480
1629,1.972480
1630,1.972440
1631,1.972340
1632,1.972250
1633,1.972210
1634,1.972170
1635,1.972080
1636,1.972150
1637,1.972150
1638,1.972060
1639,1.972150
1640,1.972100
1641,1.972100
1642,1.972230
1643,1.971900
1644,1.972020
1645,1.972020
1646,1.971750
1647,1.971790
1648,1.971920
1649,1.971810
1650,1.971750
1651,1.971940
1652,1.971810
1653,1.971790
1654,1.971850
1655,1.971750
1656,1.971730
1657,1.971620
1658,1.971690
1659,1.971730
1660,1.971540
1661,1.971690
1662,1.971680
1663,1.971730
1664,1.971640
1665,1.971520
1666,1.971560
1667,1.971580
1668,1.971580
1669,1.971500
1670,1.971560
1671,1.971560
1672,1.971580
1673,1.971470
1674,1.971450
1675,1.971580
1676,1.971580
1677,1.971520
1678,1.971600
1679,1.971560
1680,1.971390
1681,1.971410
1682,1.971390
1683,1.971290
1684,1.971410
1685,1.971390
1686,1.971350
1687,1.971220
1688,1.971390
1689,1.971450
1690,1.971370
1691,1.971200
1692,1.971330
1693,1.971290
1694,1.971350
1695,1.971240
1696,1.971240
1697,1.971120
1698,1.971060
1699,1.971160
1700,1.971050
1701,1.971100
1702,1.971010
1703,1.970970
1704,1.970950
1705,1.971030
1706,1.970850
1707,1.970870
1708,1.970950
1709,1.970870
1710,1.970930
1711,1.970800
1712,1.970740
1713,1.970820
1714,1.970840
1715,1.970780
1716,1.970680
1717,1.970820
1718,1.970640
1719,1.970660
1720,1.970590
1721,1.970610
1722,1.970720
1723,1.970640
1724,1.970640
1725,1.970660
1726,1.970470
1727,1.970630
1728,1.970530
1729,1.970490
1730,1.970490
1731,1.970490
1732,1.970450
1733,1.970400
1734,1.970470
1735,1.970260
1736,1.970400
1737,1.970380
1738,1.970320
1739,1.970340
1740,1.970280
1741,1.970210
1742,1.970360
1743,1.970430
1744,1.970360
1745,1.970280
1746,1.970300
1747,1.970170
1748,1.970340
1749,1.970400
1750,1.970420
1751,1.970420
1752,1.970360
1753,1.970420
1754,1.970360
1755,1.970220
1756,1.970360
1757,1.970450
1758,1.970340
1759,1.970260
1760,1.970340
1761,1.970340
1762,1.970420
1763,1.970400
1764,1.970420
1765,1.970380
1766,1.970400
1767,1.970450
1768,1.970400
1769,1.970320
1770,1.970360
1771,1.970420
1772,1.970510
1773,1.970450
1774,1.970610
1775,1.970470
1776,1.970640
1777,1.970640
1778,1.970740
1779,1.970850
1780,1.970930
1781,1.970970
1782,1.971080
1783,1.971290
1784,1.971240
1785,1.971430
1786,1.971680
1787,1.971710
1788,1.971850
1789,1.971940
1790,1.972060
1791,1.972400
1792,1.972320
1793,1.972380
1794,1.972670
1795,1.972690
1796,1.972760
1797,1.972990
1798,1.973050
1799,1.973010
1800,1.973280
1801,1.973360
1802,1.973450
1803,1.973580
1804,1.973830
1805,1.974020
1806,1.973890
1807,1.974270
1808,1.974160
1809,1.974410
1810,1.974580
1811,1.974790
1812,1.974850
1813,1.975040
1814,1.975090
1815,1.975250
1816,1.975400
1817,1.975480
1818,1.975650
1819,1.975860
1820,1.975910
1821,1.975990
1822,1.976180
1823,1.976390
1824,1.976490
1825,1.976680
1826,1.976740
1827,1.976810
1828,1.976910
1829,1.977020
1830,1.977170
1831,1.977350
1832,1.977500
1833,1.977650
1834,1.977630
1835,1.977790
1836,1.977920
1837,1.978010
1838,1.978090
1839,1.978280
1840,1.978360
1841,1.978550
1842,1.978650
1843,1.978680
1844,1.978840
1845,1.978890
1846,1.979030
1847,1.979120
1848,1.979310
1849,1.979540
1850,1.979560
1851,1.979700
1852,1.979700
1853,1.979910
1854,1.980000
1855,1.980150
1856,1.980170
1857,1.980270
1858,1.980310
1859,1.980540
1860,1.980570
1861,1.980710
1862,1.980900
1863,1.980820
1864,1.980920
1865,1.980880
1866,1.981010
1867,1.980960
